1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
掺量-C30混凝土,-0.01869101,-0.05065754,0.003723666,0.0011160816,-0.002714038,-0.03340456,0.014021065,-0.001184307,0.0023063421,-0.048709586,0.014254838,0.04562036,2.1387264E-4,-0.026481101,-0.0076610446,0.023167342,-0.025183491,0.01060307,0.0084871,-0.0016435757,-9.0358965E-4,0.021950334,0.034291282,0.023045946,-0.08375937,-0.01949599,0.030138958,0.014162578,-0.03646511,0.062344354,-0.016981665,-0.04391397,0.011993583,-0.033496786,-0.00859426,-0.03381597,0.021421704,-0.055494487,4.983004E-4,-0.012947228,-0.027390026,0.046447344,0.0690871,0.00483275,-0.015295379,-0.003676231,0.007371798,0.014665146,0.049077533,-0.038788445,0.011901665,-0.0075817816,-0.01112196,-0.018472642,0.024201617,-0.04047084,-0.03474454,-0.018897764,0.0011960813,0.08431039,0.034247156,-0.039793454,0.016736165,0.082497686,0.006820122,-0.010240488,-0.05607933,0.0033935793,0.054139968,-0.0011507645,0.043416537,-0.029989976,-0.010475334,0.006744612,0.07328656,0.0124844685,0.010688901,0.045692917,0.03806042,-0.03468129,0.049046457,-0.082341336,-0.028620377,0.03563736,-4.4637173E-4,-0.048915822,0.021124205,0.058754995,-0.024461448,-0.02305334,-0.08491844,-0.035625845,0.011883769,0.024138838,0.033778917,0.037046783,-0.038604114,-0.008110705,0.060185693,0.012441481,-0.035728402,-0.03553941,0.024793524,0.03627152,0.010902993,-0.064679146,-0.0020044213,0.023481786,-0.0076823216,-0.022350106,-0.0401527,0.03838522,-0.039050944,0.034654535,0.03514295,0.006908186,0.00884857,-0.022519693,-0.0037242882,0.04326839,-0.009775028,0.040830784,0.045823425,0.04464742,-0.021010958,0.004302066,0.03526461,0.01647932,0.052468356,-0.012109213,0.004809838,0.023075934,-0.045299344,-0.010491602,0.04751539,0.020700116,-0.015250862,-0.010501072,-0.10415566,-0.023646131,-0.025104813,-0.023367254,0.045448706,0.028423754,-0.0067700595,-0.010612119,0.010128602,7.985532E-4,0.03535399,-0.017896457,-0.02642858,-0.016654793,-0.043712627,-0.0032023545,0.022858612,0.020055614,0.052449748,-0.005347915,0.02182966,0.026255708,0.025691327,0.01794618,-0.08750333,0.031031393,-0.016244613,-0.05934614,-0.031360842,-0.0012798887,-0.015240628,-0.0071513653,-0.004457116,-0.08918011,0.048647247,0.017915137,-0.059073918,0.03409508,0.027322084,0.057708252,-0.004483748,1.8651783E-4,-0.041920263,-0.009891706,-0.03278567,0.04401941,0.045904852,0.028289106,0.020016458,-0.0143374,-0.012805767,0.050406706,-0.021563504,0.012080097,0.014524907,0.014505072,0.020442601,0.054400694,-0.029426187,-0.11647899,-0.013453238,0.050176173
逐点法-C语言,-0.02659953,0.0029213503,-0.026005946,0.059137367,-0.0113843065,-0.0015255213,-0.02771884,0.03474445,-0.08252776,0.009939395,-0.0039345324,-0.07212821,-0.008508928,0.026248425,0.031679105,0.010499766,-0.06011375,-0.01122354,0.022132942,-0.03414369,-0.0163434,0.029046815,-0.015577346,-0.049120106,0.022764552,0.06268236,-0.061635446,-0.004739955,7.134974E-4,-0.026975282,0.0077343583,0.0075467825,0.03902971,0.028398782,0.00539539,0.0041952133,0.05519643,-0.01483307,0.094703756,-0.0106836185,0.014308941,-0.037434585,0.06924105,-0.0047528967,-0.023001805,-0.0036676526,-0.055962525,0.06800414,0.016094282,0.011290373,-0.0052765086,0.03521903,-0.018767005,0.009609528,-0.022976844,-0.037237667,-0.0538588,-0.022310786,0.022601524,0.01287853,-0.051035956,0.012321204,-3.7816353E-4,0.04218947,0.03384829,0.020657979,-0.027589865,0.025252776,0.002283262,0.035197735,0.033421397,0.0522488,-0.0050464496,0.009443156,-0.03991379,0.0011610519,0.11255041,0.053739496,0.0059359,0.0044656545,-0.054554176,-2.801586E-4,0.07059923,0.038017243,0.011827445,0.10053,-0.0069868546,-0.048467275,-0.009686209,0.02549307,-0.07252433,-0.003564719,-0.044710368,0.053270746,-0.021600097,0.008513987,-0.022309579,0.02145913,-0.0032465607,-0.02950729,-0.00284353,-7.7940524E-4,0.034428276,-0.0052667074,-0.025816794,-0.012693375,-0.05665036,0.014290586,-0.014550865,0.07813083,0.0051998575,0.042112503,-0.021335207,0.024756446,0.019170173,0.033152256,-0.0041067395,0.031586118,-0.09346183,-0.010970041,-0.00817642,0.03561012,0.018543834,0.046703544,0.02894429,0.022215841,-0.112327956,-0.050099976,0.099341586,0.063782394,-0.024510399,-0.021746472,0.037447847,-0.007458251,-0.06216661,0.0277436,0.0155398175,0.082955174,0.036428228,0.052969866,-0.029817319,0.038020063,0.018043362,-0.0018158853,-0.018655762,-3.2874197E-4,5.3709187E-4,0.06283913,-0.05027575,0.01277072,0.034424692,0.05496279,0.07036579,0.028671004,0.06497905,-0.063018106,-0.04825148,0.025106166,0.0026346017,0.036456585,-0.0645144,0.017554492,0.0049724975,0.001237741,0.020756474,0.01652462,0.01056787,0.028582137,0.012528254,0.0024293065,-0.013453759,0.062094115,-0.02466385,-0.09734158,-0.07665476,0.0020959154,0.04165212,-0.018945556,-0.02490831,0.027779035,-0.022242483,-0.017268384,0.029918037,0.011084653,-0.03164669,-0.0034953728,-0.006899921,0.0055311155,-0.040464863,-0.001503505,-0.021546707,-0.012693316,-0.058884457,0.0067838877,-0.019413609,-0.02552322,0.07501928,-0.049222294,0.011311837,0.054049596
激光重熔-Ni基合金,-0.019116484,-0.06904146,0.009884419,-0.005664151,0.020305807,-0.046663217,-0.081211686,-4.629651E-4,-0.03399483,-0.0016961284,0.11489674,-0.016992062,-0.050577275,-0.0075532123,-0.045136884,0.117828205,0.075730026,-0.0012357825,-0.017606832,-0.032060735,-0.07909848,0.049110755,0.011188909,-0.009839721,-0.058192544,-0.0016206317,-0.046393067,0.0209626,0.051548824,0.062937245,-0.07318701,-0.029995868,0.020092182,0.026603684,0.051616542,-0.023268804,-0.03335931,-0.06612776,-0.037600998,-0.021889128,0.010384206,0.009961195,0.08006394,-0.062814705,-0.023652062,0.03489178,0.042096272,-0.04946765,-0.05324625,0.031694923,-0.027089106,0.023982186,-0.0021389127,0.04418078,-0.092395835,0.0578295,-0.055038854,0.051599015,0.04624189,0.0043648,-0.02519507,0.020098723,0.013105452,0.009378426,0.017807543,0.021734327,-0.04718907,0.027091175,-0.037226137,0.0066783195,-0.067135096,-0.041742366,-0.017667055,-0.0077688135,0.005568236,-0.0348207,-0.05960602,-0.03795611,-0.0039779097,-0.016869776,0.01552942,-0.030684413,-0.07314608,0.024782002,-0.021995882,-0.002324435,0.027437948,-0.0048761554,0.0027201977,0.049006402,-0.050504558,-0.026160799,-0.038666606,0.025177766,0.0077683963,0.03185845,0.0027403897,-0.040895063,-0.037911627,0.03942851,0.017206986,-0.017243046,-0.123693086,-0.029313505,0.021530835,-0.011639547,0.053554714,-0.012863539,-0.043895025,-0.09443303,0.008416619,0.034854446,-0.04345289,0.026306435,-0.018633058,0.0142632425,-0.038710006,-0.0079371035,-0.06224162,-0.04272685,-0.026375711,-0.009957993,0.0032076798,0.071996674,0.03960821,-0.011488073,0.05248022,-0.026810933,-0.0097601265,0.024827706,0.04024583,0.0386319,0.04331099,-0.0066984706,0.030888528,0.05087477,-1.3728626E-4,-0.065356724,0.01890707,7.5180084E-4,-0.038068406,0.011731158,0.0011479147,0.014172919,-0.017948333,-0.06728935,0.010583349,0.0297933,0.003681548,0.0295735,-0.008188764,-0.029431257,-0.04919194,0.06976392,0.0036790036,0.07263719,-0.029611707,0.0059939995,-0.027265826,0.058680855,0.034093004,-8.681882E-4,0.013818525,-0.058468804,0.04575338,-0.08395755,-0.024761027,0.045344442,-0.015444377,0.022775859,0.041284524,-0.037503958,-0.004451655,-0.06740074,-0.021945141,0.04116123,0.018000642,0.05365006,0.062250763,-0.027786735,-0.044822425,0.024461199,-0.053165197,0.0015535578,7.093102E-4,-0.032943785,-0.057995137,-0.038613826,0.04603597,-0.031315,0.04371853,0.041120067,-0.07611615,0.06235647,-0.0962333,-0.05002978,-0.011806328,-0.029071905,0.011393242,0.05876105
半胱氨酸-三乙醇胺,0.0050673303,0.028694745,0.0063020308,-0.020949025,-0.0020218343,0.06083663,0.024199354,8.9119E-4,5.0560385E-4,0.007092377,0.009323791,0.05161067,-0.023777071,0.033126198,-0.009033779,-0.020323925,-0.016316254,0.027536646,-9.2271715E-4,0.0070655486,0.009239333,-0.04501994,0.018701315,0.025364434,-0.005206242,0.017564923,0.017891474,-0.0018321462,-0.027598903,0.04632686,0.0026470926,0.036042824,-0.018290617,-0.007557437,0.017670654,-0.022413878,-0.004111809,0.072234005,-0.019031797,-0.02359166,-0.016760396,0.006055787,-0.016292088,0.018538833,-0.01716081,3.9242208E-4,0.035967786,-0.006996654,-0.021471381,0.007875666,0.046493467,0.011081091,0.0038463678,-0.0433807,0.023867123,-0.008390024,-0.031945262,0.008825824,-0.006912778,0.0014850348,-0.030453898,0.026353735,-0.028562844,0.0075914506,-0.043012626,-0.007650921,-0.0253402,-0.018444028,0.0034457073,0.015361769,0.05583072,0.02769522,-0.007762946,-0.0030612275,0.021701328,0.014919095,-0.052784238,-0.021682534,0.018825889,-0.0018430604,0.018770287,0.031491693,0.032109097,-0.0075530782,-0.007530205,-0.022240788,-0.022216387,-0.015343055,0.01907847,-0.007116448,-0.035587195,0.001363948,0.016353685,-0.07757902,-0.0021168329,0.01375255,0.023793302,-0.020088758,0.027194623,0.03288026,0.0088857,0.011703782,-0.016164284,0.007084772,-0.047760874,-0.0077016987,0.021598063,-0.023680707,0.005594209,0.0036489777,0.031528324,0.06798355,0.021035228,-0.03461378,-0.025095254,-8.5449964E-4,-0.013605848,0.044685055,-0.0049749613,0.006291963,0.001919061,0.0020379983,0.023136232,0.0114130415,0.022773419,0.013492258,-0.043565698,-0.012894514,-0.03489037,-0.0031361543,0.019261636,-0.012130522,0.0033629127,-0.0116386805,0.01218454,-0.04336069,-0.008828584,-0.010620499,-0.014465071,0.032774594,-0.0046136454,-0.0133637935,0.031413652,-0.03005453,-0.019289078,0.04996507,-0.02170832,-0.002300172,-0.022500772,0.014493793,-0.0071395,-0.030852504,0.0062103923,0.024738446,-0.03982556,-0.00438492,-0.011577681,-0.010957271,0.008412056,-0.0050668493,0.0085620135,-0.005272897,0.00766702,0.004737638,0.021747999,-0.0016015572,0.006456945,0.030225784,-0.0030845366,9.968206E-4,-0.031762395,0.011528015,-0.012731429,-0.011055164,-0.024106365,0.010863895,-0.019362502,0.025387028,-0.011301987,0.033179652,0.024975134,-0.0037965626,-0.0021839626,-0.030854747,-0.034665264,-0.005357165,0.01815738,-0.029134791,-0.011121877,0.003911767,-3.0997396E-4,-0.015429058,0.001568079,0.04659498,-0.013302043,0.022463758,-0.010812946,0.029399998,0.01797627,-0.0074658915
整流设备-三相整流,0.029491363,0.0043592677,0.012819007,0.035058517,-0.023239762,0.008680493,0.015637547,-0.017663721,-0.00875983,0.0037232935,0.024068028,-0.036318563,-0.019573078,-0.033119734,-0.013335973,0.03185532,-0.0124117555,0.0031527486,-0.04660853,0.007844226,0.032898646,0.021899292,0.019595977,-0.014174007,-0.046513483,0.01658266,0.008938067,-0.013293944,0.055898823,0.04054463,-0.03677177,0.022551019,0.031502217,-0.007916719,0.06121382,-0.023151157,-0.037014693,-0.002502665,0.03796847,0.012373365,-0.038281363,0.0034970944,-0.022833005,-0.016993923,-0.02140721,-0.007422503,-6.822869E-6,-0.016956242,0.04132756,0.030461162,0.00828068,-0.01731868,-0.03207544,-0.015635883,0.07076101,0.012373023,-0.016509082,-0.06362187,0.016901672,0.014598638,0.04612384,-0.008674651,-0.013136122,0.011813441,0.02152887,0.07096154,0.010638118,0.0708979,-0.03663812,-0.045701317,0.026243769,-0.034409445,-0.019601643,-0.012771681,0.021916278,0.008612767,0.076487474,0.042370517,-0.0024440996,0.035148367,0.0012058727,-0.003723666,0.0702609,-0.022783443,0.027861936,-0.011746263,-0.05117308,-0.0014498606,-0.056656733,0.040370464,0.021815518,0.05386055,0.028290836,-0.018668013,0.014416084,-0.0062350645,-0.0012065321,0.02648709,0.023078337,0.0022194348,-0.023823064,0.00251381,0.034968495,1.572026E-5,-0.038770974,-0.028524162,-0.0046950765,-0.06503175,0.005192306,0.040538266,0.032131597,-0.047301468,-0.045945972,0.020585107,-0.0014665127,0.026569035,3.7845224E-5,0.024743654,-0.028458282,0.018058747,-0.006466903,-0.0041712373,-0.010689141,0.01372271,-0.029300388,0.07580132,0.004178661,-0.022092251,-0.01427182,-0.017279416,-0.053714767,0.001011692,0.055984214,0.042516246,-0.0038464144,0.035234164,0.033852465,0.004916787,-0.048189104,-0.027195405,0.028569039,0.030905169,0.008579655,0.061621536,-0.01986134,2.7899817E-4,-0.02979827,5.34229E-4,-0.0019222349,0.017364144,-0.024565164,0.017790977,0.032458358,-0.047006246,-0.0114000365,0.007458858,-0.013550704,-0.052414652,0.01928784,-0.035666138,-0.0036032423,0.033843167,-0.01406147,0.024519399,-0.033857606,-0.024607228,0.041923314,-0.027345777,-0.035262577,-0.015977226,-0.037921462,1.5325099E-4,-0.023213543,-0.02070804,-0.064996995,-0.026259325,-0.017609186,-0.008352801,-0.12160032,0.009830102,-0.04783724,-0.065943785,0.07618157,-0.03810316,-0.006688218,-0.03211024,0.05655983,0.039423674,-0.042364873,-0.07745038,0.03667114,-6.5022707E-4,-0.004626438,-0.016451698,-0.033787698,0.0027472824,0.003703989,-0.080492884,0.0031297654,-0.08154989
磁性链-下压辊,-0.012469105,0.0035253465,0.01981675,-0.005751429,0.049734652,-0.002692394,0.008379091,0.05692397,-0.0015507103,-0.06913133,0.011779532,0.057710886,0.019436799,0.086629085,0.012600537,0.038743142,-4.5204163E-4,-0.05043149,0.020155903,-0.009769842,0.020026982,0.021418264,-0.058338985,0.029405482,-0.006009437,0.02723824,-0.019268647,-0.016315762,0.0018040314,0.04781101,-0.021292603,0.059424542,0.03857424,0.004547477,-4.8469473E-4,-0.029419445,-0.026215632,0.029929966,-0.031042889,-0.06463375,0.059529662,-0.035825793,0.0442788,0.050299373,-0.023803234,-0.012692012,0.054540023,-0.0021541528,-0.01809004,-0.03872191,0.035072986,-0.007982422,0.0070277676,-0.043836314,-0.09239529,-0.074414395,-0.050909135,-0.028974734,-0.017279387,-0.008990511,-0.025748484,0.0651768,-0.019577425,0.015442543,0.027622547,-0.055856213,-0.10664825,-0.060578972,0.0066805035,0.0045776386,0.0176914,-0.014556859,0.04813441,0.008746203,-0.0062428936,-0.05073597,0.06858519,-0.022657081,0.034450755,0.020152416,-0.05350453,0.016129583,-0.06238832,-0.06162701,0.0014391132,-0.0014913194,-0.082154505,0.011998244,-0.025344359,-0.029279508,0.036034495,0.008816563,0.022894725,-0.034107752,0.043825097,0.011778213,-0.018661134,-0.020160317,0.008470001,-0.028248103,0.030063622,0.005760655,0.03685379,0.037262037,0.01945299,0.039958145,0.027454622,0.030874241,-0.04655281,-0.028142884,0.0027358271,-0.007003609,-0.02038135,0.07903822,0.00413817,-0.04886335,-0.035714913,-0.05249702,0.0052032247,-0.058305055,-0.027875751,0.011877339,-0.0036431402,-0.03602325,-0.030643992,0.06074588,0.047661945,-0.017940467,0.016529325,-0.016709752,0.017356789,0.017709024,-0.03373848,0.038263895,0.04505409,0.020839136,-0.030162584,0.026853522,0.011596082,-0.05610632,0.0076456554,-0.0015731975,-0.006698236,-0.0041581765,0.021312589,0.049661964,0.03153175,0.0552783,0.018587766,0.038110346,0.042100787,0.029840473,0.021123588,-0.020709954,-0.03255589,0.021560397,0.06466852,-0.0067936145,-0.0026201773,0.03778485,0.04715968,0.029604934,-0.027472265,0.0038405657,-0.038244836,0.010592174,0.01225625,-0.041096628,-0.029354397,-0.040034875,-0.049312696,-0.004669644,0.048663486,0.02703539,-0.010272779,-0.0140146315,0.015026612,0.03656561,-0.040912006,-0.019351676,0.027037755,-0.023257542,0.05872275,0.086030394,-0.06373504,0.025869828,-0.0029040352,0.010341104,0.0145730525,-0.0027626604,-0.06619382,-0.050049096,0.0015262663,0.0113007575,-0.03555552,0.010235935,0.012593731,-0.022586208,0.0013237968,-0.0075941235
职工国际-下萨克森,0.0751769,-0.023324559,-0.010811455,0.027552716,-0.050525196,0.072863236,-0.019455366,0.06305826,-0.016854173,-5.2271783E-4,0.043221273,-0.025044546,-0.0044499673,0.0032993369,0.035693064,-0.045015458,0.022273032,0.049072187,0.006712269,-0.01642716,0.043603227,0.03101509,0.028729632,0.031916574,0.009416956,-0.034877315,0.046042614,0.021164041,-0.0048468225,0.011722993,-0.038560897,-0.008415027,0.0027901754,0.016730571,0.03766369,-0.026408616,0.03181485,0.033977382,0.023069102,0.008516818,0.02387266,0.0591192,-0.078373775,-0.004078299,0.021976896,-0.02248843,0.0048881005,0.05129049,-0.007409431,-0.024352089,-0.0685425,0.0029896945,-0.027754456,-0.019985786,0.049538746,0.003488075,-0.019131467,-0.029548727,0.0277032,-0.009707049,-0.025460534,0.0571279,0.02004093,-0.029451415,-0.011431983,0.021899063,-1.5708804E-4,-0.017184094,-0.04393152,-0.020111999,0.027749717,0.038295552,-0.04023467,0.014278656,0.007934891,0.006823033,-0.0057703555,0.03553032,-0.02600463,-0.065413006,0.032247394,-0.030633684,-0.0053287167,-0.03315945,0.039903805,-0.00801976,0.003782507,0.0108586345,0.007401943,-0.009638442,-0.033097964,0.04154951,0.0072074607,0.079749234,0.0071166176,-0.015110888,-0.02281046,0.048825197,0.019105472,0.03749392,0.025741063,0.0057150796,-0.01621733,0.025511168,0.02472806,-0.0432667,-0.050920792,-0.018096969,-0.05566228,-0.054281306,-0.0012984294,0.024994873,-0.018104404,0.01319862,2.0733103E-4,-0.020712392,0.0060864016,-1.379922E-4,0.004435256,-0.042857885,0.031561613,-0.0146642625,-0.023765862,0.023961734,-0.040049642,-0.017762497,-0.039233577,-0.04377291,-0.005532995,0.010585853,0.05227588,-0.004279852,-0.079084046,-0.026799515,-0.015303388,0.03480198,0.011321078,0.06463876,-0.043184593,0.018428776,0.034753695,-0.034607694,0.032838166,0.025201567,0.007830974,-0.0023102053,0.009426805,-0.04095062,0.05743157,0.022735508,0.024308242,0.04418956,-0.0056887567,0.010577336,0.06254378,-0.006606549,-0.010313949,-0.04256089,0.030105844,-0.009276671,-0.032679636,0.07239961,-0.028857864,-0.03808877,0.011420551,0.04541644,0.0023312308,6.5791607E-4,0.034996368,2.8312206E-6,0.0055889636,-0.004397556,-0.031407956,-0.016573794,-0.04842843,0.0026775599,-0.038522363,-0.030021925,4.4409186E-4,0.032364186,-0.07948518,0.008909199,-0.056128923,-0.009979878,-0.019635234,0.03181225,-0.0045948215,0.043614216,0.026896894,-0.016086608,0.016848065,-0.04661894,-0.023093082,0.026473954,-0.050753113,-0.02523956,0.038911153,0.016763061,-0.021720633,0.05390352
丙烷气-丙烷,-0.026028112,-0.01574802,0.016819276,-0.02266651,0.056025643,-0.022797197,-0.06472614,-0.038231403,8.831173E-4,0.09619197,0.007454157,0.054375954,-0.020589158,0.038889512,-0.035891205,-0.01356424,0.06303539,0.021944724,-0.00751975,0.0035156496,0.0036045536,0.017751042,0.10392846,0.021028452,0.026313134,0.022485815,-0.036153596,-0.0054569542,-0.0023828372,-0.015110193,0.0132117085,0.05309838,-0.032215122,0.035961024,0.07215525,-0.025698308,0.020015135,0.04077059,0.048106074,0.027288627,0.015024958,-0.015787661,0.080760196,0.025540374,-0.07308042,0.026275108,0.07235114,0.03756992,-0.025927193,-0.0078251995,0.013571948,0.016561555,-0.046363898,-0.0139126405,-0.01794717,-0.006031543,-0.006443098,-0.08053333,0.016826427,0.015402243,0.028663568,-0.02293323,-0.015183896,0.013633154,0.023542698,0.023347612,0.024238661,0.016387947,-0.058111478,-0.05657568,-0.054919854,0.04999147,-0.04086767,-0.02422234,-0.033723667,-0.038072154,0.011966951,-0.0030715168,-0.014464378,-0.0509395,0.017832108,0.048063688,-0.0061907917,0.0015227497,-0.07791369,-0.040977687,0.055570655,-0.048171036,0.10876976,0.052856732,-0.055483177,0.029790323,-0.026042923,0.068399735,0.07887295,0.07957956,-0.08606314,0.021491349,0.0012357589,0.008406028,0.020041224,-0.0056129154,0.017625041,-0.06432635,-0.028278105,-0.028387252,0.016202714,0.06405731,-0.07399013,0.048387103,-0.0026010722,0.0392552,-0.04019381,-0.009372633,-0.03455349,0.06708358,-0.006697461,-0.07635084,0.037248697,0.019818671,-0.0057457574,-0.015813958,-0.025096124,0.0890976,0.01660106,0.008492984,-0.033526093,-0.011714704,-0.0011148974,0.0022654906,0.071554124,0.019185267,-0.0643743,0.004821725,-0.027309239,-0.019814104,0.015613489,0.08021249,-0.009331588,-0.014700584,0.05648166,-0.012111239,0.029715165,0.04524061,-0.03989837,0.02037479,0.011577137,0.06195975,0.06402382,0.0070267916,-0.039034054,0.04160227,-0.015354909,0.03243202,-0.009989977,0.01929389,-0.041836105,-0.0027263276,0.03583661,0.071422406,-0.010081124,-0.017943107,-0.033327945,-0.08026318,0.01675972,0.05808236,0.006864746,-0.029333623,-0.02026099,-0.006424226,-0.06469188,0.006487049,0.09586881,0.015915073,-0.038550694,0.07141967,0.055357624,-0.029800322,0.035263807,0.050126016,-0.052997388,-0.016233282,-0.01967522,-0.01294299,0.0023212098,-0.02377443,-0.08941407,-0.078982964,0.02658987,-0.05839435,-0.035391904,2.8818473E-4,-0.0018159049,-0.06832649,-0.022059608,0.016916905,-0.04729843,-0.04293179,0.0089206435,0.035761025
法定代表人-业务主管单位,0.025950022,0.005538296,0.010970045,-0.067566454,-0.022157848,0.064266115,0.027860705,-0.03525526,-0.055107057,-0.037244864,-5.1283836E-4,-0.07003909,-0.012241997,0.022757454,0.0046216045,-0.029051468,0.0035378933,-0.0583516,0.0052867197,-0.037132144,-0.031601347,-0.024073849,3.7420914E-4,0.014335198,-0.026200987,-0.0087014735,-0.04517777,0.053740457,-0.012344737,0.021635018,-0.06344105,0.04681396,0.06826011,-0.047349885,0.02447492,-0.028482039,-0.009525392,0.004942812,-0.05274439,0.016213078,-0.0052718185,0.034310166,0.074748136,0.029853817,-0.0034246817,-0.08343684,-0.010755345,-0.040113702,0.013550021,-0.0023217276,-0.06514383,-0.016291551,0.038483158,0.0060617775,-0.0411018,-0.03415582,-0.022369862,-0.033953782,0.009694714,0.017006084,0.023744844,-0.021220421,-0.01094925,-0.00301259,-0.05169766,-0.030252792,-0.041625377,-0.02976788,0.047398645,-0.037262507,0.026646689,-0.009736266,0.021183085,0.07011983,-0.00903992,0.061503086,-0.005555071,0.0056660697,0.027512971,0.021218572,0.019578896,0.0521812,0.051598348,-0.04721339,-0.024525074,0.027076527,-0.021456279,0.01117906,0.03036023,-0.016718425,-0.048039567,-0.026387595,-0.0132845035,-0.043893978,-0.03606461,-9.994358E-4,0.03269352,0.04317447,0.0026843473,-0.014515333,-0.056856394,0.036407992,0.014782555,0.018992579,0.00924419,-0.028102618,-0.03943653,0.017972678,-0.024339333,-0.031651262,0.0033844933,0.0022450797,-0.020344555,0.013413435,-0.026151534,0.0122494325,-0.005790904,0.07430082,-0.09266689,0.009788021,0.087477356,0.0067365915,-0.03840957,0.033297084,0.02528423,0.021858007,-0.02322495,0.0112692565,0.045743782,0.040379316,0.03020752,7.871911E-5,0.011849124,-0.022906918,-0.052616272,-0.010777649,0.004656771,-0.07344605,0.018003138,0.028377734,0.041692488,-0.011991665,-0.013605077,0.015362933,0.023284167,0.016111724,0.02621968,0.007915467,0.015671186,0.006484449,-0.029606994,0.036346674,-0.013594329,0.059298187,-0.012007959,8.458942E-4,-0.035176147,0.0187761,-0.0725854,-0.037585255,0.036535196,0.0015469939,-0.049377587,-0.02670032,0.017362447,0.020658135,-0.018046923,0.037490174,0.049369276,-0.014925268,0.06719218,-0.04485537,-0.0032686554,-0.0798838,-0.021418195,0.021194994,-0.04752608,0.01969216,-0.08092195,-0.05711132,0.015377164,-0.005618293,-0.021402907,-0.038335398,0.007446975,0.08950831,-0.022284046,0.0437067,-0.065465145,1.3902411E-4,0.026590303,0.03874585,0.015112769,-0.002807051,-0.04938318,0.00823921,0.0872428,-0.048252426,-0.034299195,0.028175421
孙国雄-东南大学,-0.052363127,-0.04395601,-0.06815306,-0.041810006,-0.0022173543,-0.01700303,-0.06661315,0.059406176,-0.004784189,-0.001600666,0.08462828,-0.015688717,-0.06051106,0.052491866,0.0066718264,0.03243102,-0.03858418,0.018595152,-0.037640855,0.0028995052,0.026819378,0.053442188,0.051914886,0.060023714,0.0047746096,0.0023279563,0.028161962,-0.018871138,0.00635843,-0.0779593,-0.041811854,0.0690843,0.040120818,0.07204143,0.038842976,-0.1326739,0.023901552,0.01832211,0.016108468,-0.100969136,0.011816859,-0.03096278,0.01796671,-0.03101943,0.018107954,-0.0036271233,0.044342443,-0.02034171,0.014430455,-0.03739044,0.020984773,0.0071347714,-0.0066217706,0.060306378,0.056033224,0.022307858,0.115459554,0.081023335,0.050076064,0.009479743,0.014555097,0.016593695,0.05516078,-0.04521892,-0.019085411,-0.0044127516,0.010421954,0.09535253,-0.06560148,-0.07518989,-0.1323173,-0.07588395,-0.025980199,-0.003611017,-0.07306052,-1.8890575E-4,-0.04150215,0.059978448,-0.086669505,-0.06801267,-0.044122674,-0.037612475,0.018107694,-0.06516401,-0.069847636,0.009590253,-0.032860976,0.049776487,-0.059696864,-0.011202551,0.03169893,-0.02802542,-0.03676249,-0.041772325,-0.061538048,0.067812875,0.06955614,-0.034374088,-0.025311567,-0.009398192,0.042283256,-0.003660772,0.08285079,0.034705546,-0.056838743,0.019825047,0.0778946,-0.016960282,0.0675821,0.03608412,-0.07980416,-0.031703405,0.003938988,0.034236625,0.089969344,-0.02624237,-0.028321557,-0.013028942,-0.028964777,0.019116066,-0.00563306,0.04707987,-0.064506665,-0.010449573,-0.003729947,-0.07786918,0.08148084,0.042178683,0.0025715623,-0.019808576,-0.0013599917,-0.016596382,0.032159112,-0.09715679,0.045997005,-0.010711271,0.013890369,-0.031673454,0.018312547,-0.053660393,-0.03593563,0.05877594,0.0049527735,0.018372294,-0.06838848,-0.030329216,-0.017953064,0.10803691,-0.03785763,0.019159738,-0.034489952,-0.021479689,-0.04955677,-0.013720654,-0.016727664,-0.0017282367,-0.030667435,-0.026854843,0.03619445,-0.04941219,0.0054749367,-0.01191726,0.019243859,0.019449342,0.039796814,-0.077495486,-0.028121784,0.0019335896,-0.048877012,0.022679985,0.062763214,0.025980681,0.02294549,-0.030718897,-0.042923443,-0.028858602,0.017166186,-0.0610736,0.05832184,0.08926364,-0.08454288,0.04056961,0.044823177,0.03410799,-0.028480755,-0.03622766,-0.035130568,0.005528773,0.010997293,-0.02459167,0.022096373,0.034842487,-0.0042307544,3.9337575E-4,0.042882573,-0.013601979,-0.050895132,-0.025506832,-0.051286936,-0.03403586
